WAV,ABS1,ABS2,ABS3
380,1.857375618,Error,1.835615756
381,1.857634254,Error,1.835615756
382,1.857634254,Error,1.835615756
383,2.37524929,Error,1.907707678
384,2.376303156,Error,1.907210575
385,2.376039929,Error,1.907210575
386,2.376303156,Error,1.907210575
387,2.376303156,Error,1.907210575
388,2.376303156,Error,1.907210575
389,2.376303156,Error,1.906722298
390,2.376039929,Error,1.906722298
391,2.375776543,Error,1.906722298
392,2.375776543,Error,1.906722298
393,2.375512997,Error,1.868302587
394,2.375776543,Error,1.867804354
395,2.375776543,Error,1.868302587
396,2.375512997,Error,1.867804354
397,2.376303156,Error,1.867804354
398,2.376303156,Error,1.867804354
399,2.376039929,Error,1.867804354
400,2.376303156,Error,1.867804354
401,2.376039929,Error,1.867804354
402,2.376039929,Error,1.867804354
403,2.376039929,Error,1.867305549
404,2.376039929,Error,1.867305549
405,2.376039929,Error,1.867305549
406,2.375776543,Error,1.867305549
407,2.375776543,Error,1.867305549
408,2.376303156,Error,1.867305549
409,2.376039929,Error,1.832650188
410,2.317832471,Error,1.832650188
411,2.317832471,Error,1.832650188
412,2.317569245,Error,1.832650188
413,2.317569245,Error,1.832650188
414,2.317569245,Error,1.832650188
415,2.317305858,Error,1.832650188
416,2.317569245,Error,1.832650188
417,2.317042312,Error,1.832650188
418,2.317042312,Error,1.832650188
419,2.317832471,Error,1.832650188
420,2.317569245,Error,1.832650188
421,2.317305858,Error,1.832160237
422,2.317569245,Error,1.832160237
423,2.317569245,Error,1.882352992
424,2.317305858,Error,1.882352992
425,2.317305858,Error,1.882352992
426,2.317305858,Error,1.845164037
427,2.317042312,Error,1.845164037
428,2.317305858,Error,1.844664095
429,2.317305858,Error,1.844664095
430,2.317832471,Error,1.844664095
431,2.318090172,Error,1.844163576
432,2.317832471,Error,1.84485282
433,2.317305858,Error,1.84485282
434,2.317305858,Error,1.844352519
435,2.317569245,Error,1.844352519
436,2.317305858,Error,1.844352519
437,2.317042312,Error,1.84385164
438,2.317305858,Error,1.84385164
439,2.317305858,Error,1.84335965
440,2.317042312,Error,1.842355019
441,2.317569245,Error,1.84185183
442,2.317305858,Error,1.807713861
443,2.317569245,Error,1.807209515
444,2.317305858,Error,1.807209515
445,2.317305858,Error,1.807209515
446,2.317569245,Error,1.807399903
447,2.317305858,Error,1.807399903
448,2.317042312,Error,1.807399903
449,2.316778606,Error,1.806895192
450,2.317042312,Error,1.806389893
451,2.317042312,Error,1.806389893
452,2.317042312,Error,1.805893557
453,2.317305858,Error,1.805893557
454,2.317305858,Error,1.805893557
455,2.317042312,Error,1.805893557
456,2.317305858,Error,1.805387091
457,2.317305858,Error,1.805387091
458,2.316778606,Error,1.805387091
459,2.317042312,Error,1.804880034
460,2.317832471,Error,1.773656276
461,2.317305858,Error,1.773656276
462,2.317305858,Error,1.773148626
463,2.317305858,Error,1.773656276
464,2.317042312,Error,1.773148626
465,2.317305858,Error,1.773148626
466,2.317305858,Error,1.773148626
467,2.317305858,Error,1.773148626
468,2.317042312,Error,1.772649977
469,2.317042312,Error,1.773148626
470,2.317042312,Error,1.772649977
471,2.317305858,Error,1.772649977
472,2.317305858,Error,1.772649977
473,2.317042312,Error,1.773340261
474,2.317305858,Error,1.773340261
475,2.317305858,Error,1.744211564
476,2.317042312,Error,1.744211564
477,2.317042312,Error,1.743713135
478,2.317042312,Error,1.744211564
479,2.316778606,Error,1.744211564
480,2.317042312,Error,1.743713135
481,2.317042312,Error,1.743713135
482,2.317305858,Error,1.744211564
483,2.317569245,Error,1.743713135
484,2.317569245,Error,1.743713135
485,2.317305858,Error,1.743713135
486,2.317042312,Error,1.743713135
487,2.317305858,Error,1.743713135
