WAV,ABS1,ABS2,ABS3
380,Error,2.369876381,1.820183458
381,Error,2.371358898,1.820183458
382,Error,2.370738631,1.790299565
383,Error,2.369876381,1.790299565
384,Error,2.371358898,1.790299565
385,Error,2.370738631,1.790758361
386,Error,2.369876381,1.790299565
387,Error,2.371358898,1.790758361
388,Error,2.371358898,1.763320112
389,Error,2.369876381,1.762861317
390,Error,2.370738631,1.76369758
391,Error,2.371358898,1.76369758
392,Error,2.369876381,1.76369758
393,Error,2.371118491,1.763239184
394,Error,2.371358898,1.763239184
395,Error,2.369876381,1.736940914
396,Error,2.37049788,1.737857223
397,Error,2.37197828,1.73830569
398,Error,2.369876381,1.737857223
399,Error,2.37049788,1.737857223
400,Error,2.37197828,1.713524645
401,Error,2.37049788,1.713066733
402,Error,2.37049788,1.713524645
403,Error,2.37197828,1.713524645
404,Error,2.370738631,1.713066733
405,Error,2.369876381,1.713524645
406,Error,2.37197828,1.713524645
407,Error,2.371358898,1.713066733
408,Error,2.369876381,1.690025429
409,Error,2.245677142,1.690025429
410,Error,2.371358898,1.690025429
411,Error,2.244194626,1.690025429
412,Error,2.245677142,1.690931808
413,Error,2.246296525,1.690931808
414,Error,2.244194626,1.690483342
415,Error,2.245677142,1.690931808
416,Error,2.246296525,1.668603141
417,Error,2.244194626,1.668145228
418,Error,2.245436736,1.669051607
419,Error,2.246296525,1.669508566
420,Error,2.245436736,1.669051607
421,Error,2.244816125,1.696690003
422,Error,2.246296525,1.697146962
423,Error,2.245436736,1.696690003
424,Error,2.244816125,1.696241537
425,Error,2.246296525,1.696690003
426,Error,2.245056875,1.674076629
427,Error,2.244816125,1.674525095
428,Error,2.246296525,1.674525095
429,Error,2.245677142,1.674525095
430,Error,2.244816125,1.674525095
431,Error,2.246296525,1.674525095
432,Error,2.245677142,1.674076629
433,Error,2.247280662,1.674525095
434,Error,2.246296525,1.674525095
435,Error,2.245436736,1.674982054
436,Error,2.246296525,1.674982054
437,Error,2.246296525,1.675438532
438,Error,2.245436736,1.675438532
439,Error,2.246296525,1.653490216
440,Error,2.246902411,1.653490216
441,Error,2.245436736,1.653946694
442,Error,2.246296525,1.653490216
443,Error,2.246902411,1.653946694
444,Error,2.245436736,1.653946694
445,Error,2.245677142,1.653946694
446,Error,2.246902411,1.653490216
447,Error,2.246056461,1.653033257
448,Error,2.245677142,1.653490216
449,Error,2.24752005,1.633396819
450,Error,2.245677142,1.633396819
451,Error,2.246056461,1.633853298
452,Error,2.24752005,1.63430036
453,Error,2.246296525,1.633853298
454,Error,2.245436736,1.633396819
455,Error,2.24752005,1.633853298
456,Error,2.246296525,1.633853298
457,Error,2.245436736,1.63430036
458,Error,2.246902411,1.63430036
459,Error,2.246902411,1.614727453
460,Error,2.245436736,1.63430036
461,Error,2.246902411,1.614727453
462,Error,2.246902411,1.61428039
463,Error,2.245436736,1.61428039
464,Error,2.246296525,1.61428039
465,Error,2.24752005,1.614727453
466,Error,2.245436736,1.614727453
467,Error,2.246296525,1.614727453
468,Error,2.24752005,1.61428039
469,Error,2.245677142,1.61428039
470,Error,2.245677142,1.613823912
471,Error,2.24752005,1.595904345
472,Error,2.245677142,1.595447866
473,Error,2.245677142,1.596351407
474,Error,2.24752005,1.596351407
475,Error,2.246296525,1.595904345
476,Error,2.245436736,1.596351407
477,Error,2.24752005,1.596351407
478,Error,2.246296525,1.595904345
479,Error,2.245436736,1.595447866
480,Error,2.246902411,1.595447866
481,Error,2.246902411,1.595447866
482,Error,2.245436736,1.577817894
483,Error,2.246902411,1.578274372
484,Error,2.246902411,1.578721435
485,Error,2.245436736,1.577360935
486,Error,2.246902411,1.577360935
487,Error,2.24752005,1.577817894
488,Error,2.245436736,1.577360935
489,Error,2.246296525,1.577817894
490,Error,2.24752005,1.577817894
491,Error,2.245677142,1.577360935
492,Error,2.245677142,1.56087577
493,Error,2.24752005,1.56087577
494,Error,2.246296525,1.560418811
495,Error,2.246056461,1.560418811
496,Error,2.24752005,1.561332248
497,Error,2.246296525,1.561332248
498,Error,2.245677142,1.561332248
499,Error,2.24752005,1.561332248
500,Error,2.246296525,1.56087577
501,Error,2.246056461,1.582620255
502,Error,2.24752005,1.582620255
503,Error,2.246902411,1.582620255
504,Error,2.245436736,1.583076339
505,Error,2.246902411,1.56596403
506,Error,2.24752005,1.565507946
507,Error,2.245436736,1.565507946
508,Error,2.246902411,1.565507946
509,Error,2.24752005,1.565507946
510,Error,2.245436736,1.565507946
511,Error,2.246296525,1.56596403
512,Error,2.24752005,1.566410706
513,Error,2.245677142,1.56596403
