,ABS1,ABS2,ABS3
380,Error,2.839913932,Error
381,Error,2.838039091,Error
382,Error,2.839285606,Error
383,Error,2.840541349,Error
384,Error,2.838669221,Error
385,Error,2.838669221,Error
386,Error,2.840541349,Error
387,Error,2.839285606,Error
388,Error,2.838669221,Error
389,Error,2.841167861,Error
390,Error,2.839913932,Error
391,Error,2.838669221,Error
392,Error,2.841167861,Error
393,Error,2.839285606,Error
394,Error,2.838669221,Error
395,Error,2.840541349,Error
396,Error,2.839913932,Error
397,Error,2.838039091,Error
398,Error,2.840541349,Error
399,Error,2.840541349,Error
400,Error,2.838669221,Error
401,Error,2.840541349,Error
402,Error,2.841167861,Error
403,Error,2.838669221,Error
404,Error,2.839913932,Error
405,Error,2.841167861,Error
406,Error,2.838669221,Error
407,Error,2.839913932,Error
408,Error,2.841167861,Error
409,Error,2.838669221,Error
410,Error,2.839285606,Error
411,Error,2.841167861,Error
412,Error,2.839913932,Error
413,Error,2.838669221,Error
414,Error,2.841167861,Error
415,Error,2.840541349,Error
416,Error,2.838669221,Error
417,Error,2.841167861,Error
418,Error,2.839913932,Error
419,Error,2.839285606,Error
420,Error,2.840541349,Error
421,Error,2.840541349,Error
422,Error,2.839285606,Error
423,Error,2.840541349,Error
424,Error,2.840541349,Error
425,Error,2.838669221,Error
426,Error,2.839913932,Error
427,Error,2.841167861,Error
428,Error,2.838669221,Error
429,Error,2.839913932,Error
430,Error,2.841167861,Error
431,Error,2.839285606,Error
432,Error,2.839913932,Error
433,Error,2.841167861,Error
434,Error,2.839285606,Error
435,Error,2.839285606,Error
436,Error,2.544592207,Error
437,Error,2.543338277,Error
438,Error,2.542709952,Error
439,Error,2.544592207,Error
440,Error,2.543338277,Error
441,Error,2.542093567,Error
442,Error,2.543338277,Error
443,Error,2.543965695,Error
444,Error,2.542709952,Error
445,Error,2.543965695,Error
446,Error,2.543965695,Error
447,Error,2.542093567,Error
448,Error,2.543338277,Error
449,Error,2.543965695,Error
450,Error,2.542709952,Error
451,Error,2.543338277,Error
452,Error,2.543965695,Error
453,Error,2.542709952,Error
454,Error,2.543338277,Error
455,Error,2.543965695,Error
