WAV,ABS1,ABS2,ABS3
380,Error,1.996756254,Error
381,Error,1.998002769,Error
382,Error,1.999258512,Error
383,Error,1.999885024,Error
384,Error,1.998002769,Error
385,Error,1.999258512,Error
386,Error,1.999885024,Error
387,Error,1.998002769,Error
388,Error,1.999258512,Error
389,Error,1.999885024,Error
390,Error,1.998002769,Error
391,Error,1.998631095,Error
392,Error,1.999885024,Error
393,Error,1.998631095,Error
394,Error,1.998631095,Error
395,Error,1.999885024,Error
396,Error,1.998631095,Error
397,Error,1.998002769,Error
398,Error,1.999885024,Error
399,Error,1.999258512,Error
400,Error,1.998002769,Error
401,Error,1.999885024,Error
402,Error,1.999258512,Error
403,Error,1.998002769,Error
404,Error,1.999885024,Error
405,Error,1.999258512,Error
406,Error,1.998002769,Error
407,Error,1.999258512,Error
408,Error,1.999885024,Error
409,Error,1.998002769,Error
410,Error,1.998631095,Error
411,Error,1.999885024,Error
412,Error,1.998002769,Error
413,Error,1.998631095,Error
414,Error,1.999885024,Error
415,Error,1.998631095,Error
416,Error,1.998631095,Error
417,Error,1.999885024,Error
418,Error,1.998631095,Error
419,Error,1.998002769,Error
420,Error,1.999885024,Error
421,Error,1.999258512,Error
422,Error,1.998002769,Error
423,Error,1.999885024,Error
424,Error,1.940787828,Error
425,Error,1.939532085,Error
426,Error,1.940787828,Error
427,Error,1.94141434,Error
428,Error,1.939532085,Error
429,Error,1.940787828,Error
430,Error,1.94141434,Error
431,Error,1.939532085,Error
432,Error,1.94016041,Error
433,Error,1.94141434,Error
434,Error,1.939532085,Error
435,Error,1.94016041,Error
436,Error,1.94141434,Error
437,Error,1.94016041,Error
438,Error,1.939532085,Error
439,Error,1.94141434,Error
440,Error,1.94016041,Error
441,Error,1.939532085,Error
442,Error,1.94141434,Error
443,Error,1.940787828,Error
444,Error,1.9389157,Error
445,Error,1.94141434,Error
446,Error,1.940787828,Error
447,Error,1.9389157,Error
448,Error,1.940787828,Error
449,Error,1.94141434,Error
450,Error,1.9389157,Error
451,Error,1.940787828,Error
452,Error,1.94141434,Error
453,Error,1.939532085,Error
454,Error,1.94016041,Error
455,Error,1.94016041,Error
456,Error,1.94141434,Error
457,Error,1.94141434,Error
458,Error,1.94016041,Error
459,Error,1.94141434,Error
460,Error,1.940787828,Error
461,Error,1.94016041,Error
462,Error,1.94203995,Error
463,Error,1.940787828,Error
464,Error,1.94016041,Error
465,Error,1.94141434,Error
466,Error,1.94141434,Error
467,Error,1.94016041,Error
468,Error,1.94141434,Error
469,Error,1.94141434,Error
470,Error,1.939532085,Error
471,Error,1.94141434,Error
472,Error,1.94141434,Error
473,Error,1.939532085,Error
474,Error,1.94141434,Error
475,Error,1.94203995,Error
476,Error,1.94016041,Error
477,Error,1.940787828,Error
478,Error,1.94203995,Error
479,Error,1.94016041,Error
480,Error,1.94016041,Error
481,Error,1.94141434,Error
482,Error,1.940787828,Error
483,Error,1.94016041,Error
484,Error,1.94203995,Error
485,Error,1.940787828,Error
486,Error,1.939532085,Error
487,Error,1.94141434,Error
488,Error,1.94141434,Error
489,Error,1.939532085,Error
490,Error,1.94141434,Error
491,Error,1.94141434,Error
492,Error,1.939532085,Error
493,Error,1.940787828,Error
494,Error,1.94203995,Error
495,Error,1.939532085,Error
496,Error,1.940787828,Error
497,Error,1.94141434,Error
498,Error,1.94016041,Error
499,Error,1.94016041,Error
500,Error,1.94203995,Error
501,Error,1.94016041,Error
502,Error,1.94016041,Error
503,Error,1.890515441,Error
504,Error,1.888635901,Error
505,Error,1.888635901,Error
506,Error,1.890515441,Error
507,Error,1.889889831,Error
508,Error,1.888007576,Error
509,Error,1.890515441,Error
510,Error,1.889889831,Error
511,Error,1.888007576,Error
512,Error,1.889889831,Error
513,Error,1.889889831,Error
514,Error,1.888635901,Error
515,Error,1.889263319,Error
516,Error,1.890515441,Error
517,Error,1.888635901,Error
518,Error,1.889263319,Error
519,Error,1.890515441,Error
520,Error,1.888635901,Error
521,Error,1.889263319,Error
522,Error,1.890515441,Error
523,Error,1.888635901,Error
524,Error,1.888635901,Error
525,Error,1.890515441,Error
526,Error,1.889263319,Error
527,Error,1.888007576,Error
528,Error,1.889889831,Error
529,Error,1.889263319,Error
530,Error,1.888007576,Error
531,Error,1.890515441,Error
532,Error,1.889263319,Error
533,Error,1.888007576,Error
534,Error,1.889889831,Error
535,Error,1.889889831,Error
536,Error,1.888007576,Error
537,Error,1.889889831,Error
538,Error,1.890515441,Error
539,Error,1.888007576,Error
540,Error,1.889263319,Error
541,Error,1.890515441,Error
542,Error,1.888007576,Error
543,Error,1.888635901,Error
544,Error,1.890515441,Error
545,Error,1.888635901,Error
546,Error,1.888635901,Error
547,Error,1.890515441,Error
548,Error,1.888635901,Error
549,Error,1.888007576,Error
550,Error,1.889889831,Error
551,Error,1.889263319,Error
552,Error,1.888007576,Error
553,Error,1.890515441,Error
554,Error,1.889263319,Error
555,Error,1.887391191,Error
556,Error,1.889889831,Error
557,Error,1.889889831,Error
558,Error,1.887391191,Error
559,Error,1.889889831,Error
560,Error,1.890515441,Error
561,Error,1.888007576,Error
562,Error,1.889263319,Error
563,Error,1.890515441,Error
564,Error,1.888007576,Error
565,Error,1.888635901,Error
566,Error,1.890515441,Error
567,Error,1.888635901,Error
568,Error,1.888635901,Error
569,Error,1.890515441,Error
570,Error,1.888635901,Error
571,Error,1.888007576,Error
572,Error,1.890515441,Error
573,Error,1.889263319,Error
574,Error,1.888007576,Error
575,Error,1.889889831,Error
576,Error,1.889263319,Error
577,Error,1.888007576,Error
578,Error,1.889889831,Error
579,Error,1.889889831,Error
580,Error,1.888007576,Error
581,Error,1.889889831,Error
582,Error,1.889889831,Error
583,Error,1.888007576,Error
584,Error,1.889263319,Error
585,Error,1.889889831,Error
586,Error,1.888007576,Error
587,Error,1.889263319,Error
588,Error,1.889889831,Error
589,Error,1.888635901,Error
590,Error,1.888635901,Error
591,Error,1.890515441,Error
592,Error,1.888635901,Error
593,Error,1.888007576,Error
594,Error,1.890515441,Error
595,Error,1.889263319,Error
596,Error,1.888007576,Error
597,Error,1.889889831,Error
598,Error,1.889263319,Error
599,Error,1.888007576,Error
600,Error,1.889889831,Error
601,Error,1.889263319,Error
602,Error,1.888007576,Error
603,Error,1.889889831,Error
604,Error,1.888635901,Error
605,Error,1.890515441,Error
606,Error,1.889889831,Error
607,Error,1.888635901,Error
608,Error,1.890515441,Error
609,Error,1.890515441,Error
610,Error,1.888007576,Error
611,Error,1.889889831,Error
612,Error,1.845353282,Error
613,Error,1.843473742,Error
614,Error,1.889263319,Error
615,Error,1.890515441,Error
616,Error,1.843473742,Error
617,Error,1.84410116,Error
618,Error,1.845977992,Error
619,Error,1.84410116,Error
620,Error,1.843473742,Error
621,Error,1.845353282,Error
622,Error,1.84410116,Error
623,Error,1.843473742,Error
624,Error,1.845353282,Error
625,Error,1.844727672,Error
626,Error,1.842845417,Error
627,Error,1.845353282,Error
628,Error,1.844727672,Error
629,Error,1.842845417,Error
630,Error,1.845353282,Error
631,Error,1.843473742,Error
632,Error,1.84410116,Error
633,Error,1.845353282,Error
634,Error,1.843473742,Error
635,Error,1.843473742,Error
636,Error,1.845353282,Error
637,Error,1.84410116,Error
638,Error,1.842845417,Error
639,Error,1.845353282,Error
640,Error,1.84410116,Error
641,Error,1.842845417,Error
642,Error,1.845353282,Error
643,Error,1.844727672,Error
644,Error,1.842845417,Error
645,Error,1.844727672,Error
646,Error,1.845353282,Error
647,Error,1.842845417,Error
648,Error,1.84410116,Error
649,Error,1.845353282,Error
650,Error,1.842845417,Error
651,Error,1.84410116,Error
652,Error,1.845353282,Error
653,Error,1.843473742,Error
654,Error,1.84410116,Error
655,Error,1.845353282,Error
656,Error,1.843473742,Error
657,Error,1.843473742,Error
658,Error,1.845353282,Error
659,Error,1.84410116,Error
660,Error,1.843473742,Error
661,Error,1.845353282,Error
662,Error,1.84410116,Error
663,Error,1.842845417,Error
664,Error,1.845353282,Error
665,Error,1.844727672,Error
666,Error,1.842845417,Error
667,Error,1.844727672,Error
668,Error,1.844727672,Error
669,Error,1.842845417,Error
670,Error,1.844727672,Error
671,Error,1.845353282,Error
672,Error,1.843473742,Error
673,Error,1.84410116,Error
674,Error,1.845353282,Error
675,Error,1.843473742,Error
676,Error,1.843473742,Error
677,Error,1.845353282,Error
678,Error,1.84410116,Error
679,Error,1.843473742,Error
680,Error,1.845353282,Error
681,Error,1.84410116,Error
682,Error,1.843473742,Error
683,Error,1.845353282,Error
684,Error,1.84410116,Error
685,Error,1.843473742,Error
686,Error,1.844727672,Error
687,Error,1.844727672,Error
688,Error,1.842845417,Error
689,Error,1.844727672,Error
690,Error,1.844727672,Error
691,Error,1.842845417,Error
692,Error,1.844727672,Error
693,Error,1.844727672,Error
694,Error,1.843473742,Error
695,Error,1.84410116,Error
696,Error,1.845353282,Error
697,Error,1.843473742,Error
698,Error,1.84410116,Error
699,Error,1.845353282,Error
700,Error,1.843473742,Error
701,Error,1.843473742,Error
702,Error,1.845353282,Error
703,Error,1.84410116,Error
704,Error,1.843473742,Error
705,Error,1.844727672,Error
706,Error,1.84410116,Error
707,Error,1.842845417,Error
708,Error,1.844727672,Error
709,Error,1.844727672,Error
710,Error,1.842845417,Error
711,Error,1.844727672,Error
712,Error,1.844727672,Error
713,Error,1.842845417,Error
714,Error,1.84410116,Error
715,Error,1.844727672,Error
716,Error,1.843473742,Error
717,Error,1.84410116,Error
718,Error,1.844727672,Error
719,Error,1.843473742,Error
720,Error,1.843473742,Error
721,Error,1.845353282,Error
722,Error,1.843473742,Error
723,Error,1.843473742,Error
724,Error,1.844727672,Error
725,Error,1.84410116,Error
726,Error,1.842845417,Error
727,Error,1.844727672,Error
728,Error,1.844727672,Error
729,Error,1.842845417,Error
730,Error,1.844727672,Error
731,Error,1.84410116,Error
732,Error,1.842845417,Error
733,Error,1.844727672,Error
734,Error,1.844727672,Error
735,Error,1.842845417,Error
736,Error,1.84410116,Error
737,Error,1.844727672,Error
738,Error,1.843473742,Error
739,Error,1.843473742,Error
740,Error,1.845353282,Error
741,Error,1.843473742,Error
742,Error,1.843473742,Error
743,Error,1.844727672,Error
744,Error,1.843473742,Error
745,Error,1.843473742,Error
746,Error,1.844727672,Error
747,Error,1.84410116,Error
748,Error,1.843473742,Error
749,Error,1.844727672,Error
750,Error,1.84410116,Error
751,Error,1.842845417,Error
752,Error,1.844727672,Error
753,Error,1.844727672,Error
754,Error,1.842845417,Error
755,Error,1.844727672,Error
756,Error,1.844727672,Error
757,Error,1.845353282,Error
758,Error,1.844727672,Error
759,Error,1.843473742,Error
760,Error,1.845353282,Error
761,Error,1.844727672,Error
762,Error,1.843473742,Error
763,Error,1.845353282,Error
764,Error,1.845353282,Error
765,Error,1.80175623,Error
766,Error,1.803010159,Error
767,Error,1.803635769,Error
768,Error,1.843473742,Error
769,Error,1.803010159,Error
770,Error,1.803635769,Error
771,Error,1.80175623,Error
772,Error,1.802383647,Error
773,Error,1.803635769,Error
774,Error,1.802383647,Error
775,Error,1.802383647,Error
776,Error,1.803635769,Error
777,Error,1.802383647,Error
778,Error,1.80175623,Error
779,Error,1.803635769,Error
780,Error,1.803010159,Error
781,Error,1.80175623,Error
