"ECE/EE Courses","Section","Remaining","Day","Time"
"ADVANCE DSP","1-A","45","TBA","TBA"
"ADMATH","1-A","45","TBA","TBA"
"BRDACOUSTIC","1-A","45","TBA","TBA"
"BROADCST","1-A","45","TBA","TBA"
"CIRCUITS1","1-A","45","TBA","TBA"
"CIRCUITS2","1-A","45","TBA","TBA"
"CIRCUITS3","1-A","45","TBA","TBA"
"CIRCUIT1LAB","1-A","45","TBA","TBA"
"CIRCUIT2LAB","1-A","45","TBA","TBA"
"CIRCUIT3LAB","1-A","45","TBA","TBA"
"COMMS1","1-A","45","TBA","TBA"
"COMMS2","1-A","45","TBA","TBA"
"COMMS3","1-A","45","TBA","TBA"
"COMMS1LAB","1-A","45","TBA","TBA"
"COMMS2LAB","1-A","45","TBA","TBA"
"COMMS3LAB","1-A","45","TBA","TBA"
"DCOM1","1-A","45","TBA","TBA"
"DCOM2","1-A","45","TBA","TBA"
"DCOM1LAB","1-A","45","TBA","TBA"
"DCOM2LAB","1-A","45","TBA","TBA"
"DIGICON","1-A","45","TBA","TBA"
"DSPAPPS","1-A","45","TBA","TBA"
"DSPLAB","1-A","45","TBA","TBA"
"ECE101","1-A","45","TBA","TBA"
"ECEINTC1","1-A","45","TBA","TBA"
"ECEINTC2","1-A","45","TBA","TBA"
"ECEINTC3","1-A","45","TBA","TBA"
"ECEINTERN","1-A","45","TBA","TBA"
"ECELAWCE","1-A","45","TBA","TBA"
"ECELEMAGS","1-A","45","TBA","TBA"
"ECEMICRO","1-A","45","TBA","TBA"
"ECEMICRLAB","1-A","45","TBA","TBA"
"ECENUME","1-A","45","TBA","TBA"
"ECENUMELAB","1-A","45","TBA","TBA"
"ECESEMF","1-A","45","TBA","TBA"
"ECETECHNO","1-A","45","TBA","TBA"
"EE101","1-B","45","TBA","TBA"
"EEINTC1","1-A","45","TBA","TBA"
"EEINTC2","1-A","45","TBA","TBA"
"EEINTC3","1-A","45","TBA","TBA"
"EEINTERN","1-A","45","TBA","TBA"
"EEBASIC","1-A","45","TBA","TBA"
"EECOMP","1-A","45","TBA","TBA"
"EECOMPLAB","1-A","45","TBA","TBA"
"EEINFOTEC","1-A","45","TBA","TBA"
"EETECHNO","1-A","45","TBA","TBA"
"EELAWS","1-A","45","TBA","TBA"
"EEQUIPMT","1-A","45","TBA","TBA"
"EESAFETY","1-A","45","TBA","TBA"
"EESEMFIELD","1-A","45","TBA","TBA"
"EGYCON","1-A","45","TBA","TBA"
"EGYCONLAB","1-A","45","TBA","TBA"
"EGYINSTRU","1-A","45","TBA","TBA"
"EGYINSTRULAB","1-A","45","TBA","TBA"
"EGYLOGIC","1-A","45","TBA","TBA"
"EGYLOGICLAB","1-A","45","TBA","TBA"
"EGYMICROPS","1-A","45","TBA","TBA"
"EGYMICROPSL","1-A","45","TBA","TBA"
"EGYPOWDPA","1-A","45","TBA","TBA"
"EGYPOWSYS","1-A","45","TBA","TBA"
"ELECS1","1-A","45","TBA","TBA"
"ELECS2","1-A","45","TBA","TBA"
"ELECS3","1-A","45","TBA","TBA"
"ELECS4","1-A","45","TBA","TBA"
"ELECS1LAB","1-A","45","TBA","TBA"
"ELECS2LAB","1-A","45","TBA","TBA"
"ELECS3LAB","1-A","45","TBA","TBA"
"ELECS4LAB","1-A","45","TBA","TBA"
"ELECTRANSDI","1-A","45","TBA","TBA"
"ELECTRANSDILAB","1-A","45","TBA","TBA"
"FEEDBACK","1-A","45","TBA","TBA"
"FEEDBACK LAB","1-A","45","TBA","TBA"
"LOGIC","1-A","45","TBA","TBA"
"LOGICLAB","1-A","45","TBA","TBA"
"ROBOTICS","1-A","45","TBA","TBA"
"SAFETY","1-A","45","TBA","TBA"
"POWSURGE","1-A","45","TBA","TBA"
"SIGPRO","1-A","45","TBA","TBA"
"TELECOM","1-A","45","TBA","TBA"
"THESIS1","1-A","45","TBA","TBA"
"THESIS2","1-A","45","TBA","TBA"
